lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	words	Words	3-break	4-break	outcome
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	2	n	1	1	v	2	n	1	1	True	True	True	False	True	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	2	n	1	1	v	2	n	1	1	True	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	2	n	1	1	v	2	n	1	1	False	True	True	False	True	D
V	v	1	n	2	1	v	1	n	2	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	True	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	D
V	v	1	n	2	1	v	1	n	2	1	True	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	True	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	True	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	True	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	True	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	2	n	1	1	v	2	n	1	1	True	True	True	False	True	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	2	n	2	1	v	2	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	True	P
V	v	0	n	2	1	v	0	n	2	1	False	True	True	False	False	P
V	v	2	n	1	1	v	2	n	1	1	True	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	0	n	3	1	v	0	n	3	1	False	True	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	True	False	True	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
V	v	2	n	1	1	v	2	n	1	1	True	True	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	False	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	True	False	False	P
