lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	words	3-break	4-break	outcome
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	False	False	P
Nc	v	0	n	1	1	n	-1	o	0	1	False	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	False	True	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	False	False	P
Sc	n	-1	a	1	1	s	-1	a	1	2	False	True	False	False	P
Sr	s	-1	a	1	2	s	-1	a	1	2	False	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	False	False	P
Nc	v	0	n	2	1	n	-1	c	2	1	False	True	False	False	P
Nr	n	-1	c	2	1	n	-1	c	2	1	False	True	False	False	P
Sc	#	-1		0	0	s	-1	o	0	1	False	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	False	False	M
V	v	1	n	2	1	v	1	n	2	1	False	True	False	False	P
Fc	v	1	n	2	1	fn	-1	o	0	1	False	True	False	False	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	False	False	D
V	v	0	n	1	1	v	0	n	1	1	True	True	False	False	P
Sc	v	0	n	1	1	s	-1	o	0	1	False	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Fc	v	1	n	1	1	fs	-1	c	1	1	False	True	False	False	P
Fr	fs	-1	c	1	1	fs	-1	c	1	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	False	False	D
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	False	False	D
Fc	fu	-1	c	1	1	fn	-1	o	0	1	False	True	False	False	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	False	False	D
V	v	0	n	1	1	v	0	n	1	1	False	True	False	False	P
Nc	v	0	n	1	1	n	-1	o	0	1	False	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	False	True	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	False	False	D
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	False	False	D
Sc	n	-1	a	1	1	s	-1	a	1	2	False	True	False	False	D
Sr	s	-1	a	1	2	s	-1	a	1	2	False	True	False	False	D
V	v	0	n	2	1	v	0	n	2	1	False	True	False	False	D
Nc	v	0	n	2	1	n	-1	c	2	1	False	True	False	False	P
Nr	n	-1	c	2	1	n	-1	c	2	1	False	True	False	False	P
Sc	#	-1		0	0	s	-1	o	0	1	False	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	False	False	M
V	v	1	n	2	1	v	1	n	2	1	False	True	False	True	P
Fc	v	1	n	2	1	fn	-1	o	0	1	False	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	False	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	False	False	M
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	False	False	D
Fc	s	-1	c	1	1	fn	-1	o	0	1	False	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	False	False	D
Sc	#	-1		0	0	a	-1	o	0	1	False	True	False	False	D
Sr	#	-1		0	0	a	-1	o	0	1	False	True	False	False	P
Fc	#	-1		0	0	a	-1	o	0	1	False	True	False	False	P
Fr	a	-1	o	0	1	a	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Fc	v	1	n	1	1	fs	-1	c	1	1	False	True	False	False	P
Fr	fs	-1	c	1	1	fs	-1	c	1	1	False	True	False	False	D
Nc	fs	-1	c	1	1	s	-1	c	1	2	False	True	False	False	M
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	False	False	D
Fc	s	-1	c	1	2	fs	-1	o	0	1	False	True	False	False	D
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	False	False	D
Nc	fs	-1	o	0	1	s	-1	o	0	2	False	True	False	False	M
Sr	s	-1	o	0	2	s	-1	o	0	2	False	True	False	False	P
G	g	-1	o	0	3	g	-1	o	0	3	False	True	False	False	M
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	False	False	D
Sc	s	-1	c	1	1	s	-1	o	0	1	False	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	True	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	False	False	P
V	v	2	n	1	1	v	2	n	1	1	False	True	False	True	D
Sc	v	2	n	1	1	s	-1	a	1	1	False	True	False	False	D
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	True	True	False	False	P
Nc	#	-1		0	0	n	-1	o	0	1	False	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	False	False	M
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	False	False	M
Sc	g	-1	c	1	1	s	-1	o	0	1	False	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	True	True	False	False	P
Sc	v	0	n	2	1	s	-1	o	0	1	False	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	False	False	P
Sc	n	-1	c	1	1	s	-1	c	1	2	False	True	False	False	D
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	False	False	P
Sc	n	-1	a	1	1	s	-1	a	1	2	False	True	False	False	P
Sr	s	-1	a	1	2	s	-1	a	1	2	False	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	False	False	P
G	g	-1	a	2	1	g	-1	a	2	1	False	True	False	False	M
V	v	2	n	3	1	v	2	n	3	1	False	True	False	False	P
Nc	v	2	n	3	1	n	-1	c	3	1	False	True	False	True	P
Nr	n	-1	c	3	1	n	-1	c	3	1	False	True	False	False	P
Fc	#	-1		0	0	fn	-1	o	0	1	False	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	False	False	P
V	v	0	n	1	1	v	0	n	1	1	True	True	False	False	P
Nc	v	0	n	1	1	n	-1	o	0	1	False	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	False	True	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	False	False	P
Sc	n	-1	a	1	1	s	-1	a	1	2	False	True	False	False	P
Sr	s	-1	a	1	2	s	-1	a	1	2	False	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	False	False	P
Nc	v	0	n	2	1	n	-1	c	2	1	False	True	False	False	P
Nr	n	-1	c	2	1	n	-1	c	2	1	False	True	False	False	P
Sc	n	-1	c	2	1	s	-1	o	0	1	False	True	False	False	P
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	False	False	P
Fc	s	-1	c	1	1	fs	-1	c	1	2	False	True	False	False	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	False	False	D
Nc	fs	-1	o	0	1	s	-1	o	0	2	False	False	False	False	D
Sr	s	-1	o	0	2	s	-1	o	0	2	False	False	False	False	D
V	v	1	n	1	1	v	1	n	1	1	False	False	False	False	D
G	g	-1	c	1	1	g	-1	c	1	1	False	True	False	False	M
G	g	-1	o	0	1	g	-1	o	0	1	False	True	False	False	M
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	False	False	P
Fc	s	-1	c	1	1	fn	-1	o	0	1	False	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	False	False	M
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	False	False	P
Sc	n	-1	a	1	1	a	-1	a	1	2	False	True	False	False	P
Sr	n	-1	a	1	1	a	-1	a	1	2	False	True	False	False	P
Fc	n	-1	a	1	1	a	-1	a	1	2	False	True	False	False	P
Fr	a	-1	a	1	2	a	-1	a	1	2	False	True	False	False	P
V	v	0	n	2	1	v	0	n	2	1	False	True	False	False	P
Fc	v	0	n	2	1	fs	-1	c	2	1	False	True	False	False	P
Fr	fs	-1	c	2	1	fs	-1	c	2	1	False	True	False	False	P
Nc	fs	-1	c	2	1	s	-1	o	0	1	False	False	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	False	False	False	D
V	v	0	n	1	1	v	0	n	1	1	False	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	False	False	False	D
V	v	1	n	2	1	v	1	n	2	1	False	False	False	False	D
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	False	False	P
Sr	s	-1	c	1	1	s	-1	c	1	1	False	True	False	False	D
Nc	#	-1		0	0	n	-1	o	0	1	False	True	False	True	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
V	v	2	n	1	1	v	2	n	1	1	True	True	False	True	P
Sc	v	2	n	1	1	s	-1	a	1	1	False	True	False	False	D
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	False	False	D
V	v	1	n	2	1	v	1	n	2	1	False	True	False	False	P
Sc	#	-1		0	0	s	-1	o	0	1	False	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	D
G	g	-1	o	0	1	g	-1	o	0	1	False	True	False	False	M
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	D
Fc	v	1	n	1	1	fu	-1	c	1	1	False	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	False	False	M
Sc	g	-1	c	1	1	s	-1	c	1	2	False	True	False	False	D
Sr	s	-1	c	1	2	s	-1	c	1	2	False	True	False	False	D
Nc	s	-1	c	1	2	n	-1	o	0	1	False	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	False	True	P
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	False	False	M
V	v	2	n	1	1	v	2	n	1	1	True	True	False	False	P
Sc	v	2	n	1	1	s	-1	a	1	1	False	True	False	False	P
Sr	s	-1	a	1	1	s	-1	a	1	1	False	True	False	False	P
V	v	1	n	2	1	v	1	n	2	1	False	True	False	False	P
Nc	#	-1		0	0	n	-1	o	0	1	False	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	False	False	P
V	v	1	n	1	1	v	1	n	1	1	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	False	False	M
Sc	g	-1	c	1	1	s	-1	o	0	1	False	True	False	False	D
Sr	s	-1	o	0	1	s	-1	o	0	1	False	True	False	False	D
V	v	1	n	1	1	v	1	n	1	1	False	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	False	False	P
