lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	words	Words	3-break	4-break	outcome
Sc	v	1	n	2	1	s	-1	c	2	1	False	True	True	False	False	D
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	o	0	1	False	True	True	False	False	P
Sc	g	-1	a	1	1	s	-1	a	1	2	False	True	True	False	False	D
Sc	v	0	n	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sc	v	0	n	1	1	s	-1	o	0	1	False	True	True	False	False	P
Sc	v	1	n	1	1	a	-1	c	1	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sc	v	2	n	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sc	g	-1	c	1	1	s	-1	o	0	1	False	True	True	False	False	P
Sc	v	0	n	2	1	s	-1	o	0	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sc	s	-1	c	1	1	s	-1	o	0	1	False	True	True	False	False	D
Sc	n	-1	a	1	1	a	-1	a	1	2	False	True	True	False	False	D
Sc	v	0	n	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	a	1	1	False	True	True	False	True	D
Sc	v	1	n	1	1	a	-1	o	0	1	False	True	True	False	False	P
Sc	v	0	n	1	1	s	-1	o	0	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sc	v	2	n	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sc	#	-1	#	0	0	s	-1	o	0	1	False	True	True	False	False	P
Sc	v	0	n	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sc	n	-1	a	2	1	s	-1	a	2	2	False	True	True	False	False	D
Sc	n	-1	c	3	1	s	-1	c	3	2	False	True	True	False	False	P
Sc	s	-1	c	3	2	s	-1	o	0	1	False	True	True	False	False	D
Sc	v	1	n	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sc	v	0	n	2	1	a	-1	c	2	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	D
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	D
Sc	v	1	n	1	1	s	-1	a	1	1	False	True	True	False	False	P
Sc	v	0	n	1	1	s	-1	o	0	1	False	True	True	False	False	P
Sc	v	1	n	1	1	a	-1	c	1	1	False	True	True	False	False	P
Sc	v	2	n	1	1	s	-1	a	1	1	False	True	True	False	True	P
Sc	v	1	n	2	1	s	-1	o	0	1	False	True	True	False	False	P
Sc	v	1	n	1	1	s	-1	c	1	1	False	True	True	False	False	P
